state,model,rmse,mae,mape,training_time_seconds,version,timestamp
New York,lstm,294419003.8998,245424737.1893,76.8325,20.918,v1,2026-05-07T08:07:42.406078Z
North Carolina,arima,369271645.6424,206401430.7033,136.8954,3.168,v1,2026-05-07T08:07:50.504339Z
North Carolina,prophet,269662928.1996,244701259.3742,76.159,0.757,v1,2026-05-07T08:07:50.504339Z
North Carolina,xgboost,196342031.2798,159025205.9375,16.8777,8.837,v1,2026-05-07T08:07:50.504339Z
North Carolina,lstm,239092777.3529,195650648.8605,78.3379,16.187,v1,2026-05-07T08:07:50.504339Z
Ohio,arima,381688962.0888,220425156.1044,135.4102,3.455,v1,2026-05-07T08:08:15.634610Z
Ohio,prophet,279952966.0663,252326490.6051,76.5187,7.781,v1,2026-05-07T08:08:15.634610Z
Ohio,xgboost,191556249.2282,153137333.3,20.1682,2.511,v1,2026-05-07T08:08:15.634610Z
Ohio,lstm,247146800.0232,195139913.238,79.7742,35.082,v1,2026-05-07T08:08:15.634610Z
Oklahoma,arima,150250470.33,83171287.9413,137.0016,3.229,v1,2026-05-07T08:08:41.512860Z
Oklahoma,prophet,110152370.915,100649902.5938,75.1984,3.158,v1,2026-05-07T08:08:41.512860Z
Oklahoma,xgboost,89215454.582,75342386.3875,44.9938,2.64,v1,2026-05-07T08:08:41.512860Z
Oklahoma,lstm,97978135.8605,82657511.8225,76.2784,25.708,v1,2026-05-07T08:08:41.512860Z
Pennsylvania,arima,375185585.2049,214276078.0444,136.093,4.555,v1,2026-05-07T08:08:51.515815Z
Pennsylvania,prophet,274670446.2652,250763009.1031,74.9855,1.125,v1,2026-05-07T08:08:51.515815Z
Pennsylvania,xgboost,145433379.9014,124533230.325,28.0051,2.006,v1,2026-05-07T08:08:51.515815Z
Pennsylvania,lstm,239185730.7191,185301012.158,80.3921,27.849,v1,2026-05-07T08:08:51.515815Z
Oregon,arima,114809055.8405,67187364.2159,135.3137,3.651,v1,2026-05-07T08:08:51.702118Z
Oregon,prophet,85172250.1499,77015565.0879,76.3406,10.846,v1,2026-05-07T08:08:51.702118Z
Oregon,xgboost,70689405.8609,60916363.975,40.43,2.307,v1,2026-05-07T08:08:51.702118Z
Oregon,lstm,75929413.3779,63466639.6712,76.6657,28.679,v1,2026-05-07T08:08:51.702118Z
Rhode Island,arima,26663393.3358,14985258.9818,136.6287,3.214,v1,2026-05-07T08:09:24.419415Z
Rhode Island,prophet,19168882.6068,17149325.4231,76.6882,1.557,v1,2026-05-07T08:09:24.419415Z
Rhode Island,xgboost,12239035.6779,10135356.7375,39.6733,5.703,v1,2026-05-07T08:09:24.419415Z
Rhode Island,lstm,17230733.9694,14186411.8191,77.33,44.874,v1,2026-05-07T08:09:24.419415Z
South Carolina,arima,197385473.6363,113168329.8749,135.3879,7.647,v1,2026-05-07T08:10:30.716782Z
South Carolina,prophet,144559124.7302,129292877.6399,77.3151,3.467,v1,2026-05-07T08:10:30.716782Z
South Carolina,xgboost,112617850.359,97316918.7625,46.3006,3.893,v1,2026-05-07T08:10:30.716782Z
South Carolina,lstm,128077812.6604,101162815.9586,79.634,72.195,v1,2026-05-07T08:10:30.716782Z
South Dakota,arima,29145895.8805,16654830.0243,135.9664,10.709,v1,2026-05-07T08:10:31.834493Z
South Dakota,prophet,21330266.0935,19352286.274,75.5929,2.193,v1,2026-05-07T08:10:31.834493Z
South Dakota,xgboost,18175772.5727,15649976.7438,35.688,3.247,v1,2026-05-07T08:10:31.834493Z
South Dakota,lstm,18953802.2341,15635468.6159,77.2723,73.218,v1,2026-05-07T08:10:31.834493Z
Tennessee,arima,264212572.7056,154259810.1625,135.6071,10.723,v1,2026-05-07T08:10:36.522055Z
Tennessee,prophet,193410350.7891,173785438.3011,76.9068,2.121,v1,2026-05-07T08:10:36.522055Z
Tennessee,xgboost,155482484.3843,130844708.5125,49.1203,3.226,v1,2026-05-07T08:10:36.522055Z
Tennessee,lstm,170605666.1574,134403566.3327,79.7318,73.992,v1,2026-05-07T08:10:36.522055Z
Texas,arima,1219277619.9135,805375119.5186,176.485,38.054,v2,2026-05-07T08:10:50.662712Z
Texas,prophet,675927968.5521,605979468.2476,77.1413,5.77,v2,2026-05-07T08:10:50.662712Z
Texas,xgboost,467738079.8135,425977101.825,33.5495,1.331,v2,2026-05-07T08:10:50.662712Z
Texas,lstm,601097114.4279,486054912.8253,78.529,31.09,v2,2026-05-07T08:10:50.662712Z
Utah,arima,87137483.864,48324585.5085,136.5663,2.911,v1,2026-05-07T08:11:09.173687Z
Utah,prophet,63790399.5901,58172506.7304,75.3079,1.393,v1,2026-05-07T08:11:09.173687Z
Utah,xgboost,49792023.0261,42251777.65,52.6094,2.791,v1,2026-05-07T08:11:09.173687Z
Utah,lstm,57126547.489,48973345.6849,75.0276,19.715,v1,2026-05-07T08:11:09.173687Z
Vermont,arima,18628985.5129,10489259.9602,137.1133,3.649,v1,2026-05-07T08:11:09.687136Z
Vermont,prophet,13694417.757,12520043.1424,74.8928,1.513,v1,2026-05-07T08:11:09.687136Z
Vermont,xgboost,8418843.1405,7537507.4125,37.6325,2.676,v1,2026-05-07T08:11:09.687136Z
Vermont,lstm,11985821.5554,9590913.1731,78.9315,19.474,v1,2026-05-07T08:11:09.687136Z
Virginia,arima,297009432.0984,168400916.7443,135.9614,4.635,v1,2026-05-07T08:11:18.621837Z
Virginia,prophet,215753610.3227,193722704.4205,76.8295,0.933,v1,2026-05-07T08:11:18.621837Z
Virginia,xgboost,176676401.7626,150741926.1,30.8141,2.223,v1,2026-05-07T08:11:18.621837Z
Virginia,lstm,191997260.255,154281707.891,78.9591,28.159,v1,2026-05-07T08:11:18.621837Z
Washington,arima,191163432.049,107920323.218,136.5067,2.789,v1,2026-05-07T08:11:26.944621Z
Washington,prophet,140919266.8709,129217221.9839,74.6013,3.956,v1,2026-05-07T08:11:26.944621Z
Washington,xgboost,132205571.9473,106479096.3125,59.8542,2.81,v1,2026-05-07T08:11:26.944621Z
Washington,lstm,122141440.6535,94087957.9289,80.7444,20.674,v1,2026-05-07T08:11:26.944621Z
Wisconsin,arima,160455708.1927,93068990.5728,135.9062,3.815,v1,2026-05-07T08:11:42.259127Z
Wisconsin,prophet,117208229.4649,106542504.8891,75.4115,1.015,v1,2026-05-07T08:11:42.259127Z
Wisconsin,xgboost,70253424.7987,61355757.8125,36.7663,6.522,v1,2026-05-07T08:11:42.259127Z
Wisconsin,lstm,103759053.645,85257405.9509,77.4641,15.479,v1,2026-05-07T08:11:42.259127Z
West Virginia,arima,76883344.1073,42087567.5634,136.3252,4.196,v1,2026-05-07T08:11:42.894322Z
West Virginia,prophet,56107062.5978,50706150.3018,76.1552,0.978,v1,2026-05-07T08:11:42.894322Z
West Virginia,xgboost,40204551.0633,34020022.0438,23.6967,6.482,v1,2026-05-07T08:11:42.894322Z
West Virginia,lstm,50848781.7048,43582070.5295,75.3369,16.46,v1,2026-05-07T08:11:42.894322Z
Wyoming,arima,21919557.183,12099908.6776,138.0733,2.609,v1,2026-05-07T08:11:43.241089Z
Wyoming,prophet,15713990.0109,13976542.2981,77.5388,0.757,v1,2026-05-07T08:11:43.241089Z
Wyoming,xgboost,12972182.7694,10683836.0437,59.227,4.119,v1,2026-05-07T08:11:43.241089Z
Wyoming,lstm,14159787.8998,11640829.9441,77.599,13.481,v1,2026-05-07T08:11:43.241089Z
